 Total Nb of available Diagnostics: ndiagt=   246
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  | 48 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  | 48 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  | 48 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  | 48 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  | 48 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  | 48 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  | 48 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  | 48 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  | 48 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 | 48 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    25 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    26 |THETA   | 48 |       |SMR     MR|degC            |Potential Temperature
    27 |SST     |  1 |       |SM      M1|degC            |Sea Surface Temperature (degC,K)
    28 |SALT    | 48 |       |SMR     MR|psu             |Salinity
    29 |TEMP    | 48 |       |SMR     MR|degC            |Temperature (degC,K)
    30 |RELHUM  | 48 |       |SMR     MR|percent         |Relative Humidity
    31 |SALTanom| 48 |       |SMR     MR|psu             |Salt anomaly (=SALT-35; g/kg)
    32 |UVEL    | 48 |    33 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    33 |VVEL    | 48 |    32 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    34 |WVEL    | 48 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    35 |THETASQ | 48 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    36 |SALTSQ  | 48 |       |SMRP    MR|(psu)^2         |Square of Salinity
    37 |SALTSQan| 48 |       |SMRP    MR|(psu)^2         |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    38 |UVELSQ  | 48 |    39 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    39 |VVELSQ  | 48 |    38 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    40 |WVELSQ  | 48 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    41 |UE_VEL_C| 48 |    42 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    42 |VN_VEL_C| 48 |    41 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    43 |UV_VEL_C| 48 |    43 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    44 |UV_VEL_Z| 48 |    44 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    45 |WU_VEL  | 48 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    46 |WV_VEL  | 48 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    47 |UVELMASS| 48 |    48 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    48 |VVELMASS| 48 |    47 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    49 |WVELMASS| 48 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    50 |PhiVEL  | 48 |    47 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    51 |PsiVEL  | 48 |    50 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    52 |UTHMASS | 48 |    53 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    53 |VTHMASS | 48 |    52 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    54 |WTHMASS | 48 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    55 |USLTMASS| 48 |    56 |UUr     MR|psu.m/s         |Zonal Mass-Weight Transp of Salinity
    56 |VSLTMASS| 48 |    55 |VVr     MR|psu.m/s         |Meridional Mass-Weight Transp of Salinity
    57 |WSLTMASS| 48 |       |WM      LR|psu.m/s         |Vertical Mass-Weight Transp of Salinity
    58 |UVELTH  | 48 |    59 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    59 |VVELTH  | 48 |    58 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    60 |WVELTH  | 48 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    61 |UVELSLT | 48 |    62 |UUR     MR|psu.m/s         |Zonal Transport of Salinity
    62 |VVELSLT | 48 |    61 |VVR     MR|psu.m/s         |Meridional Transport of Salinity
    63 |WVELSLT | 48 |       |WM      LR|psu.m/s         |Vertical Transport of Salinity
    64 |UVELPHI | 48 |    65 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    65 |VVELPHI | 48 |    64 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    66 |RHOAnoma| 48 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    67 |RHOANOSQ| 48 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    68 |URHOMASS| 48 |    69 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    69 |VRHOMASS| 48 |    68 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    70 |WRHOMASS| 48 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    71 |WdRHO_P | 48 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    72 |WdRHOdP | 48 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    73 |PHIHYD  | 48 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    74 |PHIHYDSQ| 48 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    75 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    76 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    77 |PHI_NH  | 48 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Pressure Pot.(p/rho)
    78 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    79 |DRHODR  | 48 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    80 |CONVADJ | 48 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    81 |oceTAUX |  1 |    82 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    82 |oceTAUY |  1 |    81 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    83 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading
    84 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    85 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    86 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    87 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    88 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    89 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    90 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    91 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    92 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    93 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    94 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    95 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    96 |RCENTER | 48 |       |SM      MR|m               |Cell-Center Height
    97 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    98 |TOTUTEND| 48 |    99 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
